danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.708,0.356,1,-9.738,1,0.075,0.437,6.54e-05,0.112,0.569,83.679,audio_features,4VhqKzBeAlhTjLYZr0oJx8,spotify:track:4VhqKzBeAlhTjLYZr0oJx8,https://api.spotify.com/v1/tracks/4VhqKzBeAlhTjLYZr0oJx8,https://api.spotify.com/v1/audio-analysis/4VhqKzBeAlhTjLYZr0oJx8,263185,4
0.347,0.589,0,-12.56,0,0.0536,0.0158,1.47e-06,0.164,0.324,127.773,audio_features,69xDSf90ojJ6kDVKtVN7Zz,spotify:track:69xDSf90ojJ6kDVKtVN7Zz,https://api.spotify.com/v1/tracks/69xDSf90ojJ6kDVKtVN7Zz,https://api.spotify.com/v1/audio-analysis/69xDSf90ojJ6kDVKtVN7Zz,196905,4
0.813,0.343,1,-12.647,1,0.275,0.339,0.0,0.106,0.392,87.995,audio_features,0ntAdrRd2ferE32aw637e9,spotify:track:0ntAdrRd2ferE32aw637e9,https://api.spotify.com/v1/tracks/0ntAdrRd2ferE32aw637e9,https://api.spotify.com/v1/audio-analysis/0ntAdrRd2ferE32aw637e9,218601,4
0.478,0.618,7,-10.906,1,0.0497,0.0635,2.23e-05,0.144,0.392,125.931,audio_features,6uNZqCZA0hWFOaRfT9EmQN,spotify:track:6uNZqCZA0hWFOaRfT9EmQN,https://api.spotify.com/v1/tracks/6uNZqCZA0hWFOaRfT9EmQN,https://api.spotify.com/v1/audio-analysis/6uNZqCZA0hWFOaRfT9EmQN,208333,4
0.624,0.516,7,-8.619,1,0.0302,0.455,0.000189,0.334,0.363,86.999,audio_features,3dKG1vk1DMZqjFk1BdxuOu,spotify:track:3dKG1vk1DMZqjFk1BdxuOu,https://api.spotify.com/v1/tracks/3dKG1vk1DMZqjFk1BdxuOu,https://api.spotify.com/v1/audio-analysis/3dKG1vk1DMZqjFk1BdxuOu,234545,4
0.514,0.613,6,-11.254,0,0.0465,0.00726,0.0,0.075,0.404,125.95,audio_features,4ssKWILByACk0MOoYuST0d,spotify:track:4ssKWILByACk0MOoYuST0d,https://api.spotify.com/v1/tracks/4ssKWILByACk0MOoYuST0d,https://api.spotify.com/v1/audio-analysis/4ssKWILByACk0MOoYuST0d,192056,4
0.634,0.737,5,-9.231,0,0.0665,0.014,0.000635,0.613,0.502,127.992,audio_features,7AoELatxdQIMzj1ibWY1uQ,spotify:track:7AoELatxdQIMzj1ibWY1uQ,https://api.spotify.com/v1/tracks/7AoELatxdQIMzj1ibWY1uQ,https://api.spotify.com/v1/audio-analysis/7AoELatxdQIMzj1ibWY1uQ,217098,4
0.627,0.679,7,-9.177,0,0.0481,0.0174,2.64e-05,0.104,0.65,127.99,audio_features,5aFOgOdZrAkgVBHXXkrEtg,spotify:track:5aFOgOdZrAkgVBHXXkrEtg,https://api.spotify.com/v1/tracks/5aFOgOdZrAkgVBHXXkrEtg,https://api.spotify.com/v1/audio-analysis/5aFOgOdZrAkgVBHXXkrEtg,248379,4
0.569,0.743,7,-9.533,0,0.0537,0.428,0.0207,0.108,0.34,127.931,audio_features,1pV5F1gPG8GGicwWpUbnRg,spotify:track:1pV5F1gPG8GGicwWpUbnRg,https://api.spotify.com/v1/tracks/1pV5F1gPG8GGicwWpUbnRg,https://api.spotify.com/v1/audio-analysis/1pV5F1gPG8GGicwWpUbnRg,259716,4
0.662,0.54,1,-10.987,1,0.0429,0.00195,0.000441,0.0452,0.385,127.966,audio_features,0eSrE69Vn9h7fGt3elcsOg,spotify:track:0eSrE69Vn9h7fGt3elcsOg,https://api.spotify.com/v1/tracks/0eSrE69Vn9h7fGt3elcsOg,https://api.spotify.com/v1/audio-analysis/0eSrE69Vn9h7fGt3elcsOg,262734,4
0.501,0.604,0,-10.629,0,0.0463,0.651,1.53e-05,0.799,0.401,128.012,audio_features,7KNP9hgSCOMfrcUXyWIXsY,spotify:track:7KNP9hgSCOMfrcUXyWIXsY,https://api.spotify.com/v1/tracks/7KNP9hgSCOMfrcUXyWIXsY,https://api.spotify.com/v1/audio-analysis/7KNP9hgSCOMfrcUXyWIXsY,290832,4
0.682,0.301,8,-9.118,0,0.0327,0.559,2.63e-06,0.0987,0.32,104.023,audio_features,36yzu4OVMizmwxR6aF1BKe,spotify:track:36yzu4OVMizmwxR6aF1BKe,https://api.spotify.com/v1/tracks/36yzu4OVMizmwxR6aF1BKe,https://api.spotify.com/v1/audio-analysis/36yzu4OVMizmwxR6aF1BKe,185769,4
0.759,0.391,9,-10.226,1,0.0951,0.707,9.33e-06,0.113,0.065,89.021,audio_features,7k84kEsaOAb5yyV5GrpEDf,spotify:track:7k84kEsaOAb5yyV5GrpEDf,https://api.spotify.com/v1/tracks/7k84kEsaOAb5yyV5GrpEDf,https://api.spotify.com/v1/audio-analysis/7k84kEsaOAb5yyV5GrpEDf,211853,4
