Position,Track Name,Artists,Artists_ids,Album Name,Release Date,Track ID,Popularity,Image URL
1,Chal Dil Mere - Lo-Fi Mix,Ali Zafar,3cKNppGLfcxdt9CtoHEZmQ,Chal Dil Mere (Lo-Fi Mix),2023-05-18,1zFdFJ5WaNy2Y1vYClfTIi,38,https://i.scdn.co/image/ab67616d0000b273ebcdf3d061c7aa3d611a8f34
2,La Haasil,Sunny Khan Durrani,3quv60l1R7kydik94rdl7j,La Haasil,2020-05-27,76Ft5Sj31Z6cl4cN3VJYY3,48,https://i.scdn.co/image/ab67616d0000b27392ad1d3a25aa35b3a2de576d
3,Faslon Ko Takalluf,Ali Zafar,3cKNppGLfcxdt9CtoHEZmQ,Faslon Ko Takalluf,2023-03-23,5dRlBLnbzIIJWtbbqrHFPN,36,https://i.scdn.co/image/ab67616d0000b2735f6d776ba364b5d8916bc361
4,Aye Zindagi - From ''Aye Zindagi'',Quratulain Balouch,5r3gdJkUB4oAcnuIGXEB7q,Aye Zindagi (From ''Aye Zindagi''),2015-03-12,1etn7AiCgbOmCqjeTpVJjB,37,https://i.scdn.co/image/ab67616d0000b273cbdf1a62b9be9d33bef96fca
5,Luka Chuppi,"A.R. Rahman, Lata Mangeshkar","1mYsTxnqsietFxj1OgoGbG, 61JrslREXq98hurYL2hYoc",Rang De Basanti (Original Motion Picture Soundtrack),2005-12-04,500H9ENeR5AYbKU1ScK6ME,61,https://i.scdn.co/image/ab67616d0000b273a58a09b161c806587fe97b6e
6,Raat Dhallay,"Sunny Khan Durrani, Debashree Dasgupta","3quv60l1R7kydik94rdl7j, 79opdMPjsF4NefCESTUw4k",Raat Dhallay,2021-01-28,6jCfmdbz6riOFsvvS6UyVq,33,https://i.scdn.co/image/ab67616d0000b27383c1f48c9c2d5ca24713a2f5
7,In Ankhon Ki Masti (Lofi),"Asha Bhosle, The Keychangers","5as8A4G47Ohu9NSWs3Je8U, 5HnE0vK2ZcVTpNJjecfJUV",Calm Bollywood Lofi,2022-10-29,5uh6GTGPeGwjVhmGLEXxrt,24,https://i.scdn.co/image/ab67616d0000b273df5ae6ccde7c29659a60563a
8,Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold","5XKFrudbV4IiuE5WuTPRmT, 7o2ZQYM7nTsaVdkXY38UAA",Until I Found You (Em Beihold Version),2022-04-22,1Y3LN4zO1Edc2EluIoSPJN,89,https://i.scdn.co/image/ab67616d0000b2732bf0876d42b90a8852ad6244
9,Mai Ni Meriye,Mohit Chauhan,5GnnSrwNCGyfAU4zuIytiS,Fitoor,2009-01-01,0dUvKIQzOkofLditZUWbJY,42,https://i.scdn.co/image/ab67616d0000b273e1cc217267ac17d1af687caa
10,Haasil,Sunny Khan Durrani,3quv60l1R7kydik94rdl7j,Haasil,2021-02-22,4Dn28yuThDOwypgMoednQL,39,https://i.scdn.co/image/ab67616d0000b2731593156646c3504085f6202e
